stop_id,stop_name,stop_lat,stop_lon
28644,Makali Cross Madhure Road,13.13412,77.40563
33753,Makali Cross Madhure Road,13.13415,77.40558
28646,Makali Govt High School,13.06889,77.45639
33754,Makali Govt High School,13.06894,77.45638
28648,Makanahalli,13.00967,77.8289
33755,Makanahalli,13.0097,77.82892
28650,Makanahalli 1st stop,13.00999,77.82839
33756,Makanahalli 1st stop,13.00997,77.82842
28652,Makanahalli Cross,13.01888,77.82967
33757,Makanahalli Cross,13.01873,77.82965
20986,Makkala Koota,12.95803,77.57385
20987,Makkala Koota,12.95779,77.57388
22242,Makkala Koota,12.95661,77.57376
22243,Makkala Koota,12.9572,77.57311
28656,Malagala,12.97856,77.51502
33758,Malagala,12.97551,77.51533
33759,Malagala,12.97863,77.51525
34820,Malagala 1,12.9754,77.51528
28658,Malenahalli Bidaraguppe,12.80576,77.7968
33760,Malenahalli Bidaraguppe,12.80585,77.79669
28661,Malenallasandra,12.80688,77.60562
33761,Malenallasandra,12.80662,77.6046
33762,Malenallasandra,12.80661,77.60456
35225,Malenallasandra,12.80691,77.6056
23827,Malenallasandra Junction,12.8354,77.58949
24126,Malenallasandra Junction,12.8354,77.5893
39812,Malgudi Layout,12.79609,77.68183
39813,Malgudi Layout,12.79605,77.68195
28663,Maligenahalli Bidaluru,13.28697,77.69095
28664,Maligenahalli Cross,13.28762,77.70566
28666,Maligondanahalli,12.91588,77.41532
33764,Maligondanahalli,12.91595,77.41528
28668,Mallaiahnapalya,12.98575,77.42728
33765,Mallaiahnapalya,12.98569,77.42725
28671,Mallapura,13.07449,77.39966
33766,Mallapura,13.20406,77.77996
33767,Mallapura,13.20396,77.78
31392,Mallapura 1,13.07451,77.39953
33768,Mallapura Cross,13.07282,77.39373
34821,Mallapura Cross,13.07278,77.3937
28680,Mallarabanavadi Cross,13.0826,77.37155
33771,Mallarabanavadi Cross,13.08246,77.37168
28687,Mallasandra,13.03516,77.15811
33772,Mallasandra,13.00255,77.3942
33773,Mallasandra,13.00245,77.39422
33774,Mallasandra,13.0082,77.7841
33775,Mallasandra,13.0081,77.78412
33776,Mallasandra,13.00818,77.78415
33777,Mallasandra,13.03522,77.15816
33778,Mallasandra Bagalakunte,13.05716,77.50948
39168,Mallasandra Bus Stand (Charging Point),13.05925,77.50719
33779,Mallasandra Health Center,13.05325,77.51174
33780,Mallasandra Poorvankara Apartment,12.85307,77.54488
28697,Mallathahalli,12.86117,77.36232
33781,Mallathahalli,12.95884,77.50063
33782,Mallathahalli,12.95894,77.50059
22244,Mallathahalli Cross,12.9575,77.50327
22245,Mallathahalli Cross,12.95782,77.50321
28700,Mallathahalli Cross,12.8671,77.36156
33784,Mallathahalli Cross,12.95775,77.50284
33785,Mallathahalli Cross,12.86716,77.36154
22246,Malleshpalya,12.97477,77.67028
23542,Malleshpalya,12.97481,77.67025
