route_id,route_short_name,route_long_name,route_type
401-BC BSN-YTTMC,401-BC,Basaveshwaranagara New Bus Stand ⇔ Yeshawanthapura Bus Station,3
MF-7 HYN-BMS,MF-7 HYN-BMS,Bayyappanahalli Metro Station  Back Gate ⇔ Hoysala Nagara,3
MF-2,MF-2,Bayyappanahalli Metro Station  Back Gate ⇔ TC Palya,3
298-M KBS-EHSR-BRS,298-M,Beerasandra Chapradakallu ⇔ Kempegowda Bus Station,3
215-K BWSR-BSK,215-K,Beereshwara Nagara ⇔ Banashankari Bus Station,3
347-G,347-G,Bengaluru Central Jail ⇔ Shivajinagara Bus Station,3
MF-39,MF-39,Bengaluru University Gate ⇔ Ramasandra,3
MF-40,MF-40,Bengaluru University Gate ⇔ Ullala Satelite Town,3
231-D BTN-KMT-KBS,231-D,Bethimgere ⇔ Kempegowda Bus Station,3
245-D D35G-BTH,245-D,Bettahalli ⇔ Depot-35 Gate,3
D43G-BTH,D43G-BTH,Bettahalli ⇔ Depot-43 Gate,3
241-D BRTN2-MRTG-CVB,241-D,Bharath Nagara 2nd Stage ⇔ Cauvery Bhavana,3
241-D BRTN-VSD,241-D,Bharath Nagara 2nd Stage ⇔ Vidhana Soudha Karnataka High Court,3
BCC-YHKOT,BCC-YHKOT,Bhartiya City Chokkanahalli ⇔ Yelahanka Old Town,3
500-D BSBI-CSB,500-D,Bhattarahalli Bank Of India ⇔ Central Silk Board,3
330-B,330-B,Bhoganahalli ⇔ Shivajinagara Bus Station,3
278-A,278-A,Bhoopasandra ⇔ Yelahanka Old Town,3
415 BVSN-SBS,415 BVSN-SBS,Bhuvaneshwari Nagara ⇔ Shivajinagara Bus Station,3
226-S BDD-ANCP,226-S,Bidadi ⇔ Anchipura Colony,3
213-DA,213-DA,Bidadi ⇔ Banashankari Bus Station,3
211-NB,211-NB,Bidadi ⇔ Bannerughatta Circle,3
BDD-GDHD,BDD-GDHD,Bidadi ⇔ Guddadahalli Dinne,3
377-HG,377-HG,Bidadi ⇔ Gullahatti Kaval,3
377-H,377-H,Bidadi ⇔ Harohalli,3
231-E BDD-KMT,231-E,Bidadi ⇔ KR Market (Kalasipalya),3
377-A,377-A,Bidadi ⇔ Nelamangala Bus Station,3
226-M BDD-SNBS,226-M,Bidadi ⇔ Shanthinagara Bus Station,3
226-N VSD,226-N VSD,Bidadi ⇔ Vidhana Soudha,3
365-D BVH-D34,365-D,Bilavaradahalli ⇔ Depot-34 Gate,3
KBS-BCGHS,KBS-BCGHS,Bishop Coton Girls High School ⇔ Kempegowda Bus Station,3
BCGHS-GBC,BCGHS-GBC,Bishop Coton Girls High School ⇔ Shivajinagara Bus Station,3
290-E BCGHS-SBS-YHKOT,290-E,Bishop Coton Girls High School ⇔ Yelahanka Old Town,3
362 BMH-BGR-JSD,362,Bommanahalli ⇔ Jambu Savari Dinne,3
MF-22D,MF-22D,Bommasandra Metro Station ⇔ Anekal,3
211-AC BGM-BSK,211-AC,Brigade Meadows Kanakapura Road ⇔ Banashankari Bus Station,3
G-4,G-4,Brigade Road ⇔ Bannerughatta National Park,3
G-3 BRGD-D38G,G-3,Brigade Road ⇔ Depot-38 Gate,3
G-3,G-3,Brigade Road ⇔ Electronic City Wipro Main Gate,3
BRGD-KVASC,BRGD-KVASC,Brigade Road ⇔ Kendriya Vidyalaya ASC Center,3
328-HF BDGC-D41,328-HF,Budigere Cross ⇔ Depot-41 Gate,3
328-HS,328-HS,Budigere Cross ⇔ Sarjapura,3
328-HF,328-HF,Budigere Cross ⇔ Varthur Kodi,3
365-S MRD-D34G,365-S,Bukkasagara ⇔ Depot-34 Gate,3
BC-7B BDYH-PSS,BC-7B,Byadarahalli ⇔ Peenya 2nd Stage,3
BC-7B BDH-PSBS,BC-7B,Byadarahalli ⇔ Peenya Satellite Bus Station (Basaveshwara),3
258-SB BNH-MNTK,258-SB,Byranayakanahalli ⇔ Mantanakurchi,3
500-D BYK-KRPRLY,500-D,Byrappa layout Kannuru ⇔ KR Pura Railway Station,3
295-B BYB-D48G-AGP,295-B,Byrathi Bande ⇔ Anagalipura,3
500-QK BBD-KDG,500-QK,Byrathi Bande ⇔ Kadugodi Bus Station,3
227-T BEML5-RRG-CKT,227-T,CK Thandya ⇔ BEML Layout 5th stage,3
500-DH HSRCPWD-ATB,500-DH,CPWD Quarters HSR Layout ⇔ Attibele Bus Stand,3
